yr,r,s,value
1997,AL,ppd,1.0119304802267406
1997,AL,res,0.16729555525231732
1997,AL,com,0.08139981961615717
1997,AL,amb,1.0354278256278935
1997,AL,fbp,0.16133228292618051
1997,AL,rec,0.08022123013175933
1997,AL,con,1.557392577341417
1997,AL,agr,1.2559617949791166
1997,AL,eec,0.25745114076842807
1997,AL,fnd,0.8520136471735804
1997,AL,pub,0.18655049077211727
1997,AL,hou,6.4284649330164125
1997,AL,fbt,0.2849918913831151
1997,AL,ins,0.622122507435865
1997,AL,tex,0.4463203478104929
1997,AL,leg,0.43268089801233833
1997,AL,fen,0.20532542345766247
1997,AL,uti,1.6257902489873794
1997,AL,nmp,0.3420850791236014
1997,AL,brd,1.4924873355834765
1997,AL,bnk,2.2997500093708156
1997,AL,ore,1.208553804039138
1997,AL,edu,0.08503647967743533
1997,AL,ote,0.1004265058785182
1997,AL,man,0.07226535507416254
1997,AL,mch,0.18624505071376163
1997,AL,dat,0.04495739577926078
1997,AL,amd,0.18331062264822
1997,AL,oil,0.19531110381365804
1997,AL,hos,0.20393782375901193
1997,AL,rnt,0.6782827761369195
1997,AL,pla,0.33812137007553866
1997,AL,fof,0.15804798205253798
1997,AL,fin,0.01751962617873281
1997,AL,tsv,0.8770249317861236
1997,AL,nrs,0.0299214205680024
1997,AL,sec,0.07768560970639932
1997,AL,art,0.06990304164797125
1997,AL,mov,0.020551020773521268
1997,AL,fpd,0.24566794345773207
1997,AL,slg,0.349114911875569
1997,AL,pri,0.01023518427967579
1997,AL,grd,0.011409401067519247
1997,AL,pip,0.0035947024863195245
1997,AL,sle,0.6483622592390085
1997,AL,osv,0.7457784750461671
1997,AL,trn,0.07156767355498983
1997,AL,smn,0.054573054564907714
1997,AL,fmt,0.6085233914934667
1997,AL,pet,0.2137221978230456
1997,AL,mvt,0.4341969795437237
1997,AL,cep,0.35662464719005327
1997,AL,wst,0.06192791021511301
1997,AL,mot,0.2884566600661096
1997,AL,adm,0.3904744897166035
1997,AL,soc,0.07566186807573688
1997,AL,alt,0.18942934763695352
1997,AL,pmt,0.37785974926626764
1997,AL,trk,0.42970169158161264
1997,AL,fdd,2.378319520819446
1997,AL,gmt,0.1409314724407964
1997,AL,wtt,0.026568863801315387
1997,AL,wpd,0.3013201097849536
1997,AL,wht,1.8745598854382122
1997,AL,wrh,0.029254962429752174
1997,AL,ott,0.9634246163533287
1997,AL,che,0.9083053735254762
1997,AL,air,0.022703442532254474
1997,AL,mmf,0.12273918883371504
1997,AL,otr,0.15724513185246491
1997,AL,min,0.299090519840976
1997,AK,ppd,0.01564699751159217
1997,AK,res,0.07597066586978474
1997,AK,com,0.010742210921410183
1997,AK,amb,0.159095852505291
1997,AK,fbp,0.042700418881787716
1997,AK,rec,0.021103833355919383
1997,AK,con,0.3541502922209837
1997,AK,agr,0.019726254272718353
1997,AK,eec,0.001030507747332262
1997,AK,fnd,0.20921488287840223
1997,AK,pub,0.027434892033822662
1997,AK,hou,1.4877080262905522
1997,AK,fbt,0.07039771278607596
1997,AK,ins,0.10003016404242403
1997,AK,tex,0.0007752959383283994
1997,AK,leg,0.04264762307321575
1997,AK,fen,0.03133454196074026
1997,AK,uti,0.23199313452735065
1997,AK,nmp,0.009314004032622832
1997,AK,brd,0.2713193423784931
1997,AK,bnk,0.2796483930885323
1997,AK,ore,0.27621787707016265
1997,AK,edu,0.017206671933737837
1997,AK,ote,0.0009336325623783368
1997,AK,man,0.017213245389457704
1997,AK,mch,0.0014169500140514455
1997,AK,dat,0.006474721766844913
1997,AK,amd,0.07336706815752587
1997,AK,oil,3.147918734157098
1997,AK,hos,0.03167623811807807
1997,AK,rnt,0.10359412571762863
1997,AK,pla,0.001969612421377004
1997,AK,fof,0.3003471784825908
1997,AK,fin,0.015578055890216831
1997,AK,tsv,0.2584155244381784
1997,AK,nrs,0.003278162481585356
1997,AK,sec,0.04601200809481193
1997,AK,art,0.0254509807575318
1997,AK,mov,0.0012616686480800172
1997,AK,fpd,0.001624278682824244
1997,AK,slg,0.1568004110890424
1997,AK,pri,0.0014897115509930094
1997,AK,grd,0.024162132412287346
1997,AK,pip,1.0381038532248361
1997,AK,sle,0.1334926987152013
1997,AK,osv,0.2707919858500873
1997,AK,smn,0.06089162590736191
1997,AK,fmt,0.00426089636303496
1997,AK,pet,0.21814812123008073
1997,AK,mvt,0.09778774605697077
1997,AK,cep,0.0006262289512104443
1997,AK,wst,0.016478940358468128
1997,AK,mot,0.0011334107274673638
1997,AK,adm,0.11397505372846678
1997,AK,soc,0.004802184764073094
1997,AK,alt,0.0003963652601218239
1997,AK,pmt,0.00027991429812876866
1997,AK,trk,0.03466472934078549
1997,AK,fdd,0.5083523711062765
1997,AK,gmt,0.041303561850293796
1997,AK,wtt,0.02866770972353582
1997,AK,wpd,0.007079577922489384
1997,AK,wht,0.16251444388477781
1997,AK,wrh,0.001739735221927715
1997,AK,ott,0.2281189600699075
1997,AK,che,0.00905797530139001
1997,AK,air,0.11858900936043026
1997,AK,mmf,0.003246733170023143
1997,AK,otr,0.07271914128843318
1997,AK,min,0.32877867262308125
1997,AR,ppd,0.5858358560614253
1997,AR,res,0.21463892444826727
1997,AR,com,0.03168379429505902
1997,AR,amb,0.3778426110929056
1997,AR,fbp,0.6786009474727412
1997,AR,rec,0.021744717166384146
1997,AR,con,1.122576265573695
1997,AR,agr,2.166917085241779
1997,AR,eec,0.4035386692621723
1997,AR,fnd,0.3281798520946595
1997,AR,pub,0.18375161917323052
1997,AR,hou,3.283096679699385
1997,AR,fbt,0.16788011525274804
1997,AR,ins,0.525748968413412
1997,AR,tex,0.012620240393796597
1997,AR,leg,0.12048974706781543
1997,AR,fen,0.06481857865265267
1997,AR,uti,1.0141343512185752
1997,AR,nmp,0.1360542552221926
1997,AR,brd,1.0897809509943353
1997,AR,bnk,0.5352404136822442
1997,AR,ore,0.6217855259338273
1997,AR,edu,0.03975344091059879
1997,AR,ote,0.07169016651484686
1997,AR,man,0.1171768324663367
1997,AR,mch,0.29060885768750777
1997,AR,dat,0.024352694031498978
1997,AR,amd,0.1247481850930757
1997,AR,oil,0.0708487968853221
1997,AR,hos,0.15301870303371912
1997,AR,rnt,0.3926007739862273
1997,AR,pla,0.379152929251901
