yr,r,s,value
1997,AL,ppd,1.0262842688246323
1997,AL,res,0.5226477253868487
1997,AL,com,0.5821748750849907
1997,AL,amb,2.7704245987321463
1997,AL,fbp,0.8946586961557206
1997,AL,rec,0.06436314696705608
1997,AL,con,3.0108069056448143
1997,AL,agr,0.1305443696642489
1997,AL,eec,0.3150109331722503
1997,AL,fnd,1.1014587998722298
1997,AL,pub,0.24021891132596868
1997,AL,hou,0.06195781828129853
1997,AL,fbt,0.8816075132957442
1997,AL,ins,1.1528750791660234
1997,AL,tex,0.9998266790523258
1997,AL,leg,0.6454501191747649
1997,AL,fen,0.7233204590278253
1997,AL,uti,0.908760082273021
1997,AL,nmp,0.37628352859011893
1997,AL,brd,1.1050104811995551
1997,AL,bnk,1.6468457857603525
1997,AL,ore,0.2469121505698256
1997,AL,edu,0.3542005654883381
1997,AL,ote,0.5395173912361175
1997,AL,man,0.5372009279924803
1997,AL,mch,0.49098681275115874
1997,AL,dat,0.09296370228387257
1997,AL,amd,0.39260235948093897
1997,AL,oil,0.04030638867528121
1997,AL,hos,1.3918035042234451
1997,AL,rnt,0.20728451098209014
1997,AL,pla,0.761115184863051
1997,AL,fof,0.23183780294367298
1997,AL,fin,0.004678178546117826
1997,AL,tsv,1.954610470227599
1997,AL,nrs,0.5271773285096142
1997,AL,sec,0.27664446875910614
1997,AL,art,0.09992053206777766
1997,AL,mov,0.0166326429533355
1997,AL,fpd,0.37557305248403766
1997,AL,slg,12.377657172260802
1997,AL,pri,0.3075861857737493
1997,AL,grd,0.02264883537910002
1997,AL,pip,0.031667815008978015
1997,AL,sle,0.7993945559742347
1997,AL,osv,1.8220968736151277
1997,AL,trn,0.2530807487975382
1997,AL,smn,0.0689103269131725
1997,AL,fmt,1.0306252802770286
1997,AL,pet,0.16130548323821
1997,AL,mvt,0.9908911513390524
1997,AL,cep,0.7763706583655491
1997,AL,wst,0.1189992710279941
1997,AL,mot,0.5758051266469033
1997,AL,adm,1.3706078592155002
1997,AL,soc,0.3593800271180989
1997,AL,alt,0.9025392351053048
1997,AL,pmt,1.0920141896058633
1997,AL,trk,0.9910912858566067
1997,AL,fdd,2.1501167686599865
1997,AL,gmt,0.7036626980075243
1997,AL,wtt,0.019877238007567966
1997,AL,wpd,0.8584552270907442
1997,AL,wht,3.3684497084513074
1997,AL,wrh,0.18544833164714578
1997,AL,ott,2.5901122433999073
1997,AL,che,0.886232668986058
1997,AL,air,0.027661670057432565
1997,AL,mmf,0.29030216935580344
1997,AL,otr,0.3689250080315303
1997,AL,min,0.47310986660825205
1997,AK,ppd,0.021590090456133564
1997,AK,res,0.354459438584612
1997,AK,com,0.029492192936849255
1997,AK,amb,0.33706784736097767
1997,AK,fbp,0.31699595736250646
1997,AK,rec,0.012430548904716277
1997,AK,con,0.753897920401939
1997,AK,agr,0.005964829633446248
1997,AK,eec,0.0015321668260936394
1997,AK,fnd,0.37563048898437096
1997,AK,pub,0.03377114165421273
1997,AK,hou,0.015584447089034415
1997,AK,fbt,0.1282365116553871
1997,AK,ins,0.09262189904602146
1997,AK,tex,0.002530849765903435
1997,AK,leg,0.07741323260206284
1997,AK,fen,0.24669049355608874
1997,AK,uti,0.09530878156048006
1997,AK,nmp,0.014168489273192052
1997,AK,brd,0.20908863573410405
1997,AK,bnk,0.19366792968510402
1997,AK,ore,0.060892831841120154
1997,AK,edu,0.057373516005802046
1997,AK,ote,0.00437302751811772
1997,AK,man,0.1317908852909274
1997,AK,mch,0.003586501389209592
1997,AK,dat,0.018833701633075718
1997,AK,amd,0.09422923041440752
1997,AK,oil,0.717602918515563
1997,AK,hos,0.2620389203600289
1997,AK,rnt,0.03046690795719353
1997,AK,pla,0.003114466637308993
1997,AK,fof,0.08857994955518343
1997,AK,fin,0.004249876444080355
1997,AK,tsv,0.32451603405144924
1997,AK,nrs,0.09926248399033843
1997,AK,sec,0.1659182328499111
1997,AK,art,0.027869228286368057
1997,AK,mov,0.00853867683031634
1997,AK,fpd,0.004212221119813402
1997,AK,slg,5.559263345420986
1997,AK,pri,0.016396339577554722
1997,AK,grd,0.035582483477312944
1997,AK,pip,0.18041202911266777
1997,AK,sle,0.5167483997323766
1997,AK,osv,0.29465197428187345
1997,AK,smn,0.4233588087555132
1997,AK,fmt,0.016537730718784425
1997,AK,pet,0.037530765960568126
1997,AK,mvt,0.14485876525044594
1997,AK,cep,0.0009497012312540988
1997,AK,wst,0.0394919934767989
1997,AK,mot,0.0015252503459348638
1997,AK,adm,0.2836507538460496
1997,AK,soc,0.019110048736188552
1997,AK,alt,0.0012797941896857056
1997,AK,pmt,0.0006151980538469522
1997,AK,trk,0.11147452666738455
1997,AK,fdd,0.706221037283552
1997,AK,gmt,0.10250356452224657
1997,AK,wtt,0.03215456645476382
1997,AK,wpd,0.021577377188370748
1997,AK,wht,0.36806771686052314
1997,AK,wrh,0.013189313588542771
1997,AK,ott,0.376933670104838
1997,AK,che,0.012513572558008914
1997,AK,air,0.2800621845804317
1997,AK,mmf,0.005200723858347507
1997,AK,otr,0.2498628836975373
1997,AK,min,0.127875208303214
1997,AR,ppd,0.7329858637031722
1997,AR,res,0.36345159319803233
1997,AR,com,0.27515236328419135
1997,AR,amb,1.5319065882538545
1997,AR,fbp,1.3340237028412278
1997,AR,rec,0.04824916481064354
1997,AR,con,1.499362367261393
1997,AR,agr,0.24662316093102796
1997,AR,eec,0.5533245906923914
1997,AR,fnd,0.5023903881687503
1997,AR,pub,0.19421039914790128
1997,AR,hou,0.030370859382820865
1997,AR,fbt,0.42095077790668267
1997,AR,ins,0.4835945430999477
1997,AR,tex,0.076256735302318
1997,AR,leg,0.22654605959422178
1997,AR,fen,0.3300196669043936
1997,AR,uti,0.419402356033509
1997,AR,nmp,0.1628583158164093
1997,AR,brd,0.44342842197002
1997,AR,bnk,0.6310458866711357
1997,AR,ore,0.12125377668661373
1997,AR,edu,0.1776602689182913
1997,AR,ote,0.19315148009509522
1997,AR,man,0.8586032805708467
1997,AR,mch,0.6503343267963474
1997,AR,dat,0.06383440921086013
1997,AR,amd,0.2144708307040026
1997,AR,oil,0.01956256651159645
1997,AR,hos,1.1491054368370348
1997,AR,rnt,0.12015005022206324
1997,AR,pla,0.45884017867113114
1997,AR,fof,0.19586070645461437
1997,AR,fin,0.0005805279861376728
1997,AR,tsv,0.49118821480249564
1997,AR,nrs,0.4352752988680065
1997,AR,sec,0.22945762081298413
1997,AR,art,0.06739326079740743
1997,AR,mov,0.012320633340947785
1997,AR,fpd,0.30360488113693646
1997,AR,slg,2.8235621789648144
1997,AR,pri,0.1973932568606268
1997,AR,grd,0.019155528221989487
1997,AR,pip,0.05499796857839419
1997,AR,sle,0.26628292811731713
1997,AR,osv,0.9179736301176074
1997,AR,trn,0.27361997845080016
1997,AR,smn,0.04038382649969073
1997,AR,fmt,0.7095832443046776
1997,AR,pet,0.026634795166848156
1997,AR,mvt,0.47374386906160065
1997,AR,cep,0.18161954537064984
1997,AR,wst,0.05993412925614006
1997,AR,mot,0.4091124723627459
1997,AR,adm,0.6776584606931907
1997,AR,soc,0.21885815043493012
1997,AR,alt,0.1968449865246847
1997,AR,pmt,0.42203964941197997
1997,AR,trk,1.036523487829068
1997,AR,fdd,0.7251915706547792
1997,AR,gmt,0.336100028794699
1997,AR,wtt,0.0050299478828621565
1997,AR,wpd,0.498881882244258
1997,AR,wht,1.8434054383760614
1997,AR,wrh,0.29722075676579063
1997,AR,ott,1.2370120615552322
1997,AR,che,0.38466599656491607
1997,AR,air,0.0557443584603492
1997,AR,mmf,0.24382749617752128
1997,AR,otr,0.2090054485921348
1997,AR,min,0.08556946840636709
1997,AZ,ppd,0.14517535912423665
1997,AZ,res,2.4609049461272425
1997,AZ,com,0.5388935853581436
1997,AZ,amb,3.2124458511735074
1997,AZ,fbp,0.33941060202541734
1997,AZ,rec,0.3314241970155002
1997,AZ,con,4.744796795396967
1997,AZ,agr,0.3022829681968578
1997,AZ,eec,0.11624268611796112
1997,AZ,fnd,1.1140232380797224
1997,AZ,pub,0.4912272269965051
1997,AZ,hou,0.14457720080781009
1997,AZ,fbt,1.0423731762254438
1997,AZ,ins,1.3936312622205993
1997,AZ,tex,0.06460902479778045
1997,AZ,leg,0.7827528775485459
1997,AZ,fen,0.731363288597827
1997,AZ,uti,0.7233936498545966
1997,AZ,nmp,0.2924481958601143
1997,AZ,brd,0.9816627178870445
1997,AZ,bnk,2.3302054958802647
1997,AZ,ore,0.5543224640000124
1997,AZ,edu,0.5132854129171108
1997,AZ,ote,1.729411016027519
1997,AZ,man,0.9082640086009282
1997,AZ,mch,0.46697335538737067
1997,AZ,dat,0.23135020478750426
1997,AZ,amd,0.7496702951082015
1997,AZ,oil,0.0006401654198618338
